date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2018-04-05,6747364.87217,140,0.0,0.407168,158604.0,116,2341.216
2018-04-06,3331536.13292,141,251023648.0,0.383813,236300.0,134,4294.86747
2018-04-07,497689.831688,91,188756848.0,0.288293,133126.0,88,1441.465
2018-04-08,2338024.81948,116,185397472.0,0.283076,149416.0,96,1251.75229272
2018-04-09,2675707.203,115,194815648.0,0.296884,156283.0,106,1781.304
2018-04-10,3879233.57464,96,186231056.0,0.283802,110934.0,97,1889.36450521
2018-04-11,4838305.31177,96,196173552.0,0.297694,69362.0,93,962.829769189
2018-04-12,2388935.58424,130,200567936.0,0.304252,272142.0,114,3042.52
2018-04-13,3063317.72799,150,220568752.0,0.332965,106696.0,145,8960.02322183
2018-04-14,577111.532721,83,201749760.0,0.303114,53744.0,76,1024.35997131
2018-04-15,2622831.06724,87,207894928.0,0.312128,77725.0,87,1768.20512
2018-04-16,2939594.39622,155,228033232.0,0.342157,127041.0,145,2720.14815
2018-04-17,5368469.10762,140,226906320.0,0.33993,482321.0,122,2569.360905
2018-04-18,7902735.39667,203,254049408.0,0.380513,732338.0,159,3318.60751999
2018-04-19,1973567.89127,127,255655504.0,0.382907,354784.0,122,3446.163
2018-04-20,11820904.0616,109,257718176.0,0.385657,352317.0,109,7713.14
2018-04-21,1002136.53372,96,248555344.0,0.367293,393260.0,108,3672.93
2018-04-22,1461555.55526,115,265952176.0,0.392934,268371.0,115,1604.41121264
2018-04-23,6823766.56483,205,277610880.0,0.408675,877090.0,190,2839.70950249
2018-04-24,4630563.64075,222,334847744.0,0.490872,680100.0,208,1935.33905072
2018-04-25,2098374.92252,156,364815008.0,0.533586,370811.0,134,2571.05055176
2018-04-26,2470342.02249,120,303071680.0,0.443149,360379.0,136,2915.6988455
2018-04-27,5961419.10937,143,317139520.0,0.463461,384827.0,135,2559.01937686
2018-04-28,4302948.57247,112,304263424.0,0.443195,326087.0,118,4247.137685
2018-04-29,2113422.28234,94,316094240.0,0.460357,246357.0,108,2577.9992
2018-04-30,3222954.67187,101,312488864.0,0.454563,330547.0,104,2272.81045437
2018-05-01,1840039.77362,167,276808352.0,0.402623,740090.0,146,2858.6233
2018-05-02,606698.006649,116,299938592.0,0.435907,408418.0,108,1367.2223055
2018-05-03,7104111.2098,149,276518720.0,0.401865,394014.0,141,1430.6394
2018-05-04,5954895.14801,156,290069120.0,0.419636,232103.0,150,1149.47070792
2018-05-05,3246683.32619,128,276963808.0,0.400208,295085.0,120,1618.85536728
2018-05-06,3111485.78673,178,269012768.0,0.38725,286329.0,142,963.558684457
2018-05-07,7056596.29552,188,267699296.0,0.384451,430280.0,183,1984.930918
2018-05-08,13250303.3111,216,274488128.0,0.391817,276533.0,197,3917.9740915
2018-05-09,1397046.00802,124,254164592.0,0.361243,277537.0,115,2456.81643076
2018-05-10,3632470.05098,117,267275968.0,0.379819,249414.0,104,2282.71219
2018-05-11,703989.852411,111,250701424.0,0.353564,351781.0,111,932.590969377
2018-05-12,1828608.05027,89,236979584.0,0.334202,236224.0,104,1927.342934
2018-05-13,1641108.36399,126,228881008.0,0.322282,163174.0,125,1228.82660202
2018-05-14,2364771.24455,142,228371344.0,0.321454,387903.0,127,2482.74836173
2018-05-15,1045579.49407,115,228025520.0,0.320608,247355.0,108,1331.7617087
2018-05-16,1943358.51717,107,193128272.0,0.271303,226967.0,100,1808.777101
2018-05-17,929005.096461,109,190800496.0,0.265978,145420.0,105,2659.77734022
2018-05-18,885364.292671,70,176741952.0,0.24638,107515.0,76,1292.7583238
2018-05-19,187233.636436,36,185429056.0,0.258209,201623.0,37,1309.96487716
2018-05-20,1188015.64901,73,189482976.0,0.263854,106239.0,74,1649.0875
2018-05-21,826846.386125,103,178919216.0,0.248404,237622.0,93,1987.22951596
2018-05-22,763175.372319,104,176883456.0,0.24542,106919.0,105,926.153211563
2018-05-23,1752893.14865,137,169454176.0,0.235061,141177.0,147,705.183
2018-05-24,2934797.32655,117,146169760.0,0.202426,92658.0,117,809.704
2018-05-25,1912979.26203,130,156976560.0,0.214404,87792.0,118,1001.4757239
2018-05-26,542387.110372,107,159555152.0,0.216048,56174.0,107,936.135984
2018-05-27,9977953.59798,412,159120240.0,0.215138,106237.0,400,2182.252303
2018-05-28,844883.545699,159,149208560.0,0.199795,80956.0,151,1598.36
2018-05-29,2070138.89585,223,138189808.0,0.184868,102840.0,179,654.460875613
2018-05-30,7384765.87436,394,152729344.0,0.203037,271963.0,312,1094.41251467
2018-05-31,3326904.5689,312,154910240.0,0.20199,196702.0,236,928.851015
2018-06-01,2222670.1273,106,163255376.0,0.212163,111960.0,120,1857.07334715
2018-06-02,692986.686619,97,154113056.0,0.200168,147199.0,110,2121.57863032
2018-06-03,448629.504954,88,156551584.0,0.203163,187909.0,102,1098.81973608
2018-06-04,501659.630918,115,154684080.0,0.20074,209448.0,111,1792.20672
2018-06-05,3775519.26606,99,153775984.0,0.199561,203078.0,98,2005.29289928
2018-06-06,861539.543613,85,163320256.0,0.21103,180486.0,88,1055.15
2018-06-07,967762.086501,97,159876112.0,0.206579,94028.0,108,1242.985843
2018-06-08,891670.541025,121,158627328.0,0.204586,347237.0,92,2779.38203064
2018-06-09,465300.022234,90,156123184.0,0.201356,85038.0,82,1100.50460344
2018-06-10,2612790.64254,58,149613840.0,0.192813,93160.0,60,1928.13
2018-06-11,749946.948556,96,116083704.0,0.1496,112378.0,94,1496.0
2018-06-12,365909.267004,64,122495104.0,0.157862,103343.0,70,1578.62
2018-06-13,1492578.31022,118,103542560.0,0.133438,76307.0,112,1334.38
2018-06-14,1585288.98099,124,97532688.0,0.125124,178689.0,104,1251.24
2018-06-15,1516366.10443,117,97159848.0,0.124371,221090.0,108,2487.42
2018-06-16,445016.346977,85,80678864.0,0.102817,226457.0,82,1220.46760693
2018-06-17,759924.292717,72,82879824.0,0.105622,88444.0,74,1022.632204
2018-06-18,590318.501259,70,86962088.0,0.110824,80860.0,66,1252.935325
2018-06-19,670715.790564,86,86081632.0,0.109702,116001.0,88,2194.04
2018-06-20,1401095.01227,101,82953104.0,0.105715,61219.0,96,2378.5875
2018-06-21,728159.712956,182,80154168.0,0.101677,446659.0,169,1271.23006303
2018-06-22,1067456.60283,161,124555448.0,0.157995,444119.0,162,947.97
2018-06-23,518750.544321,79,124778088.0,0.158258,128947.0,82,1076.16870844
2018-06-24,397818.362754,78,130515368.0,0.165452,162467.0,80,1006.64690822
2018-06-25,359248.651092,75,124352936.0,0.15764,149709.0,82,736.65172
2018-06-26,362530.749376,72,129773952.0,0.164513,130821.0,74,726.603809527
2018-06-27,553990.36091,89,117176920.0,0.148543,379842.0,84,445.629
2018-06-28,403586.769197,107,125436032.0,0.15882,725683.0,104,555.87
2018-06-29,339796.131043,86,119268552.0,0.151011,660683.0,96,542.310681698
2018-06-30,191912.347189,52,120246320.0,0.152249,602339.0,60,651.647479703
2018-07-01,407371.450159,63,115870032.0,0.146708,624360.0,60,963.284728
2018-07-02,248862.22409,57,108369944.0,0.137125,631157.0,63,1645.25838575
2018-07-03,249034.726587,70,116218416.0,0.147056,575407.0,73,1470.56
2018-07-04,640730.051331,87,105595992.0,0.133615,615626.0,92,1051.01559
2018-07-05,696478.547368,87,97631336.0,0.123537,638772.0,100,1248.95907
2018-07-06,180335.055181,58,86801856.0,0.109834,643850.0,56,1047.32441351
2018-07-07,105288.068509,40,88513648.0,0.112,524322.0,52,835.296
2018-07-08,1311730.46018,146,94376888.0,0.119419,538897.0,144,1065.17696896
2018-07-09,527603.744474,70,92703816.0,0.117302,527413.0,65,1171.26047
2018-07-10,137327.438192,45,86903736.0,0.109949,451816.0,50,932.676063969
2018-07-11,139502.942513,48,86898592.0,0.109929,481589.0,47,775.4404928
2018-07-12,445689.157157,47,84575320.0,0.10699,613802.0,55,878.24367748
2018-07-13,92724.7092919,22,76663072.0,0.096981,628628.0,27,1228.38733714
2018-07-14,260670.944925,51,79014720.0,0.099956,799640.0,57,998.448289368
2018-07-15,239694.109966,51,80252880.0,0.101522,833870.0,48,1015.22
2018-07-16,154379.681971,41,79243408.0,0.100245,723231.0,41,847.216389181
2018-07-17,577529.20874,55,87723448.0,0.110939,857767.0,55,986.68384018
2018-07-18,677497.72188,75,88777496.0,0.112272,953305.0,67,1809.600096
2018-07-19,305103.388058,103,82640592.0,0.104511,837754.0,75,1206.6985147
2018-07-20,169782.249238,67,74017464.0,0.093606,476622.0,67,1138.810596
2018-07-21,43987.3054028,21,73418248.0,0.092848,698819.0,25,1299.872
2018-07-22,225345.379258,25,77387184.0,0.097867,373757.0,28,1316.702618
2018-07-23,91258.0134661,26,76518960.0,0.096769,554030.0,34,854.353373048
2018-07-24,272433.105339,60,75423232.0,0.095384,442228.0,61,1397.84280228
2018-07-25,155445.937523,38,78740216.0,0.099578,431206.0,33,1990.06633
2018-07-26,551667.808285,108,78479032.0,0.099248,436580.0,72,2974.46256
2018-07-27,308625.834899,42,74319600.0,0.093988,444005.0,39,1879.76
2018-07-28,138142.166412,44,80983312.0,0.102393,485930.0,27,3324.70071
2018-07-29,300954.128641,80,81257752.0,0.10274,531612.0,37,2770.8978
2018-07-30,99795.6081916,36,78057384.0,0.098692,426063.0,40,873.130196916
2018-07-31,115717.110702,78,78472597.0,0.099217,301354.0,65,66.127634415
2018-08-01,200348.181678,33,73470772.0,0.092893,349474.0,31,1857.86
2018-08-02,221264.932475,39,72091135.0,0.091148,367357.0,39,1073.1274691
2018-08-03,52848.8458367,26,70739637.0,0.08944,423645.0,28,647.599669313
2018-08-04,756937.579545,43,69480231.0,0.087847,430217.0,28,3402.72689454
2018-08-05,161786.104351,48,66523000.0,0.084108,590615.0,28,2115.73123101
2018-08-06,495015.945777,76,67493404.0,0.085335,635470.0,53,1478.6763465
2018-08-07,380862.660572,62,66728081.0,0.084368,850636.0,41,2053.5687281
2018-08-08,166860.99292,45,64842823.0,0.081984,697464.0,38,1229.76
2018-08-09,466361.514028,52,61407945.0,0.077641,809044.0,48,2748.29518225
2018-08-10,211687.552689,35,62726844.0,0.079309,633622.0,32,1189.635
2018-08-11,216439.471957,33,58145566.0,0.073516,470440.0,29,1470.32
2018-08-12,100695.923083,19,57739569.0,0.073003,739804.0,25,949.039
2018-08-13,147785.888994,52,57646492.0,0.072885,673833.0,55,1028.99042017
2018-08-14,391614.38775,68,53840301.0,0.068073,375413.0,55,754.557010155
2018-08-15,342497.570535,18,50945227.0,0.064413,532319.0,22,1725.20731576
2018-08-16,97249.4067783,36,51536330.0,0.06516,619260.0,35,620.079160976
2018-08-17,2533334.53402,438,50647187.0,0.064036,663597.0,436,962.1409
2018-08-18,422113.934071,39,54740287.0,0.069211,491723.0,41,943.7750382
2018-08-19,216005.055458,29,51158300.0,0.064682,430218.0,24,1323.781812
2018-08-20,322985.194741,47,52408524.0,0.06606,476638.0,43,1321.2
2018-08-21,144949.822259,33,49166378.0,0.061973,455046.0,36,1070.89619934
2018-08-22,468334.935559,69,48776057.0,0.061481,467461.0,51,288.9607
2018-08-23,800139.117575,107,45236908.0,0.05702,432048.0,65,548.248955882
2018-08-24,263782.544199,102,41558660.0,0.052384,585002.0,66,1023.48778539
2018-08-25,576648.905366,48,44239305.0,0.055763,319704.0,47,528.152686362
2018-08-26,19966.9417661,23,40360666.0,0.050874,197509.0,27,634.90752
2018-08-27,238400.197655,138,39799885.0,0.050167,170960.0,68,542.912804222
2018-08-28,191592.763096,93,31912758.0,0.040225,125154.0,73,622.28075
2018-08-29,181541.832446,49,34261085.0,0.043185,101559.0,46,1294.25445
2018-08-30,134239.387801,55,36189049.0,0.045616,123914.0,51,929.015456
2018-08-31,105979.501104,28,35527880.0,0.044782,16029.0,34,929.19940882
2018-09-01,125798.198618,33,37336012.0,0.047021,63556.0,31,1206.1638836
2018-09-02,969472.243091,43,35984076.0,0.045318,24927.0,46,951.686791692
2018-09-03,290841.715491,64,36317227.0,0.045738,106426.0,54,1147.44909772
2018-09-04,70651.4043524,30,34725326.0,0.043733,40126.0,34,869.79745365
2018-09-05,308627.383948,33,33816143.0,0.042588,37737.0,36,800.6544
2018-09-06,45323.7098109,30,31490483.0,0.039653,41430.0,36,460.303716826
2018-09-07,38660.3754079,37,30420858.0,0.038306,53266.0,40,517.131
2018-09-08,44654.3029818,26,32128628.0,0.040457,22651.0,32,203.743831023
2018-09-09,19021.9008495,13,30826665.0,0.038817,8103.0,14,671.701769408
2018-09-10,17402.7199156,18,30407595.0,0.03829,10926.0,22,776.990389272
2018-09-11,22990.6104054,14,31123745.0,0.039191,17881.0,22,467.394550583
2018-09-12,28653.5871117,22,29885188.0,0.037624,29033.0,29,803.36646
2018-09-13,131757.948941,26,31453963.0,0.039599,90666.0,27,1467.3607445
2018-09-14,43824.1087523,37,36385910.0,0.045808,81608.0,34,458.08
2018-09-15,218078.531555,39,39164120.0,0.049306,46656.0,31,902.349106
2018-09-16,66679.285318,58,37697419.0,0.047459,84704.0,39,288.84797124
2018-09-17,46858.9622315,26,30583611.0,0.038503,43578.0,29,332.164720892
2018-09-18,46729.8367899,32,28989942.0,0.036497,51114.0,37,581.598673899
2018-09-19,193779.560896,21,30525847.0,0.03843,38265.0,24,1210.545
2018-09-20,141193.007573,34,30255058.0,0.038089,47515.0,23,1333.36667249
2018-09-21,155242.484773,67,31427771.0,0.039509,198516.0,54,1132.82298777
2018-09-22,68542.9515184,36,32996924.0,0.041481,130373.0,33,1728.02704762
2018-09-23,530837.210837,65,39275088.0,0.049374,101696.0,53,1624.75186417
2018-09-24,169850.805623,34,42540427.0,0.053479,67561.0,40,587.627252
2018-09-25,231386.663389,62,37546367.0,0.0472,135369.0,48,943.292
2018-09-26,160746.332803,39,34098107.0,0.042812,60266.0,42,1969.74528479
2018-09-27,93696.8289803,38,36109629.0,0.045337,40289.0,38,918.638419094
2018-09-28,77250.7487545,32,36053863.0,0.045267,75461.0,38,805.498384883
2018-09-29,46671.994675,21,38559341.0,0.048413,55016.0,24,311.616434703
2018-09-30,103192.29986,35,39775847.0,0.04994,86984.0,32,998.8
2018-10-01,68536.2975617,31,38826339.0,0.048748,64452.0,27,487.48
2018-10-02,137293.632457,36,40306508.0,0.050598,111584.0,33,2732.292
